Age,Gender,Height_cm,Weight_kg,Know_BMI,Fitness_Goal,Activity_Level,Exercise_Frequency,Medical_Conditions,Tracking_Preference,Motivation,Willingness_to_Use_App,Importance_of_Sustainability,Empathy_Preference,Willingness_to_Pay,Useful_App_Features,Used_Fitness_App_Before,Stopped_App_Reason,Workout_Preference,Monthly_Income,Fitness_Persona,Would_Recommend_App,BMI
33,Male,161,58,Yes,Others,Low,1–2,Yes,Wearable devices,Mental health,2,1,Yes,₹200–₹500,"Reminders, Community features, Challenges, Diet tracker",Yes,"Didn’t see results, Got bored, Too expensive",Guided,₹1L–₹2L,Consistent,Yes,21.984804018057567
28,Male,157,50,No,Weight loss,Medium,1–2,No,Not tracking,Appearance,5,4,Maybe,₹200–₹500,"Workout plans, Community features",Yes,"Too expensive, Got bored",Self-paced,₹50k–₹1L,Need better results,Yes,22.270674946915285
35,Female,168,63,Yes,Weight loss,Low,0,No,In-app tracking,Health,4,3,No,₹0,"Workout plans, Mental health tips",No,"Got bored, Privacy concerns, App was buggy",Guided,₹50k–₹1L,Need motivation to start,Yes,18.950155134396745
42,Female,178,72,Yes,Weight loss,Low,1–2,No,Wearable devices,Social influence,1,4,Maybe,₹200–₹500,"Challenges, Diet tracker, Mental health tips, Community features",Yes,"Too expensive, Got bored, Privacy concerns",Mix of both,<₹20k,Consistent,Yes,21.236908162994943
28,Male,146,78,No,Weight loss,Low,Daily,No,Manual logs,Appearance,1,2,Maybe,₹500–₹1000,"Mental health tips, Diet tracker, Challenges",No,"App was buggy, Others, Didn’t see results",Guided,₹50k–₹1L,Start but can’t continue,Yes,36.855822175038476
28,Non-binary,166,61,Yes,Improve flexibility,Medium,1–2,No,In-app tracking,Social influence,4,4,Yes,₹500–₹1000,"Reminders, Diet tracker",Yes,Privacy concerns,Self-paced,₹50k–₹1L,Need better results,No,24.216018959413397
42,Male,163,63,No,Muscle gain,Medium,1–2,No,In-app tracking,Others,5,1,Maybe,₹0,"Reminders, Mental health tips",Yes,"Privacy concerns, Got bored, Didn’t see results",Guided,₹50k–₹1L,Consistent,Yes,27.34141479658209
36,Female,171,56,Yes,Weight loss,Medium,1–2,No,In-app tracking,Appearance,4,1,Yes,₹200–₹500,"Diet tracker, Community features",Yes,"Others, Too expensive",Guided,₹20k–₹50k,Consistent,Yes,20.930204605356128
26,Female,167,69,Yes,Weight loss,Medium,5–6,No,In-app tracking,Health,5,5,Yes,₹0,"Challenges, Reminders, Community features, Workout plans",Yes,"Too expensive, Others",Guided,₹1L–₹2L,Consistent,Yes,23.55539997372864
34,Female,157,57,No,Others,Medium,5–6,No,In-app tracking,Health,3,1,Yes,>₹1000,"Workout plans, Reminders",Yes,"Got bored, Privacy concerns",Mix of both,₹50k–₹1L,Need better results,No,19.60107762655962
